source_counterparty_id,relationship_type,target_id,metric
CP-01095,TransactedWith,CP-01112,101095
CP-01095,UltimateBeneficialOwner,P-01095,1
CP-01096,TransactedWith,CP-01113,101096
CP-01096,UltimateBeneficialOwner,P-01096,1
CP-01097,TransactedWith,CP-01114,101097
CP-01097,UltimateBeneficialOwner,P-01097,1
CP-01098,TransactedWith,CP-01115,101098
CP-01098,UltimateBeneficialOwner,P-01098,1
CP-01099,TransactedWith,CP-01116,101099
CP-01099,UltimateBeneficialOwner,P-01099,1
CP-01100,TransactedWith,CP-01117,101100
CP-01100,UltimateBeneficialOwner,P-01100,1
CP-01101,TransactedWith,CP-01118,101101
CP-01101,UltimateBeneficialOwner,P-01101,1
CP-01102,TransactedWith,CP-01119,101102
CP-01102,UltimateBeneficialOwner,P-01102,1
CP-01103,TransactedWith,CP-01120,101103
CP-01103,UltimateBeneficialOwner,P-01103,1
CP-01104,TransactedWith,CP-01121,101104
CP-01104,UltimateBeneficialOwner,P-01104,1
CP-01105,TransactedWith,CP-01122,101105
CP-01105,UltimateBeneficialOwner,P-01105,1
CP-01106,TransactedWith,CP-01123,101106
CP-01106,UltimateBeneficialOwner,P-01106,1
CP-01107,TransactedWith,CP-01124,101107
CP-01107,UltimateBeneficialOwner,P-01107,1
CP-01108,TransactedWith,CP-01125,101108
CP-01108,UltimateBeneficialOwner,P-01108,1
CP-01109,TransactedWith,CP-01126,101109
CP-01109,UltimateBeneficialOwner,P-01109,1
CP-01110,TransactedWith,CP-01127,101110
CP-01110,UltimateBeneficialOwner,P-01110,1
CP-01111,TransactedWith,CP-01128,101111
CP-01111,UltimateBeneficialOwner,P-01111,1
CP-01112,TransactedWith,CP-01129,101112
CP-01112,UltimateBeneficialOwner,P-01112,1
CP-01113,TransactedWith,CP-01130,101113
CP-01113,UltimateBeneficialOwner,P-01113,1
CP-01114,TransactedWith,CP-01131,101114
CP-01114,UltimateBeneficialOwner,P-01114,1
CP-01115,TransactedWith,CP-01132,101115
CP-01115,UltimateBeneficialOwner,P-01115,1
CP-01116,TransactedWith,CP-01133,101116
CP-01116,UltimateBeneficialOwner,P-01116,1
CP-01117,TransactedWith,CP-01134,101117
CP-01117,UltimateBeneficialOwner,P-01117,1
CP-01118,TransactedWith,CP-01135,101118
CP-01118,UltimateBeneficialOwner,P-01118,1
CP-01119,TransactedWith,CP-01136,101119
CP-01119,UltimateBeneficialOwner,P-01119,1
CP-01120,TransactedWith,CP-01137,101120
CP-01120,UltimateBeneficialOwner,P-01120,1
CP-01121,TransactedWith,CP-01138,101121
CP-01121,UltimateBeneficialOwner,P-01121,1
CP-01122,TransactedWith,CP-01139,101122
CP-01122,UltimateBeneficialOwner,P-01122,1
CP-01123,TransactedWith,CP-01140,101123
CP-01123,UltimateBeneficialOwner,P-01123,1
CP-01124,TransactedWith,CP-01141,101124
CP-01124,UltimateBeneficialOwner,P-01124,1
CP-01125,TransactedWith,CP-01142,101125
CP-01125,UltimateBeneficialOwner,P-01125,1
CP-01126,TransactedWith,CP-01143,101126
CP-01126,UltimateBeneficialOwner,P-01126,1
CP-01127,TransactedWith,CP-01144,101127
CP-01127,UltimateBeneficialOwner,P-01127,1
CP-01128,TransactedWith,CP-01145,101128
CP-01128,UltimateBeneficialOwner,P-01128,1
CP-01129,TransactedWith,CP-01146,101129
CP-01129,UltimateBeneficialOwner,P-01129,1
CP-01130,TransactedWith,CP-01147,101130
CP-01130,UltimateBeneficialOwner,P-01130,1
CP-01131,TransactedWith,CP-01148,101131
CP-01131,UltimateBeneficialOwner,P-01131,1
CP-01132,TransactedWith,CP-01149,101132
CP-01132,UltimateBeneficialOwner,P-01132,1
CP-01133,TransactedWith,CP-01150,101133
CP-01133,UltimateBeneficialOwner,P-01133,1
CP-01134,TransactedWith,CP-01151,101134
CP-01134,UltimateBeneficialOwner,P-01134,1
CP-01135,TransactedWith,CP-01152,101135
CP-01135,UltimateBeneficialOwner,P-01135,1
CP-01136,TransactedWith,CP-01153,101136
CP-01136,UltimateBeneficialOwner,P-01136,1
CP-01137,TransactedWith,CP-01154,101137
CP-01137,UltimateBeneficialOwner,P-01137,1
CP-01138,TransactedWith,CP-01155,101138
CP-01138,UltimateBeneficialOwner,P-01138,1
CP-01139,TransactedWith,CP-01156,101139
CP-01139,UltimateBeneficialOwner,P-01139,1
CP-01140,TransactedWith,CP-01157,101140
CP-01140,UltimateBeneficialOwner,P-01140,1
CP-01141,TransactedWith,CP-01158,101141
CP-01141,UltimateBeneficialOwner,P-01141,1
CP-01142,TransactedWith,CP-01159,101142
CP-01142,UltimateBeneficialOwner,P-01142,1
CP-01143,TransactedWith,CP-01160,101143
CP-01143,UltimateBeneficialOwner,P-01143,1
CP-01144,TransactedWith,CP-01161,101144
CP-01144,UltimateBeneficialOwner,P-01144,1
CP-01145,TransactedWith,CP-01162,101145
CP-01145,UltimateBeneficialOwner,P-01145,1
CP-01146,TransactedWith,CP-01163,101146
CP-01146,UltimateBeneficialOwner,P-01146,1
CP-01147,TransactedWith,CP-01164,101147
CP-01147,UltimateBeneficialOwner,P-01147,1
CP-01148,TransactedWith,CP-01165,101148
CP-01148,UltimateBeneficialOwner,P-01148,1
CP-01149,TransactedWith,CP-01166,101149
CP-01149,UltimateBeneficialOwner,P-01149,1
CP-01150,TransactedWith,CP-01167,101150
CP-01150,UltimateBeneficialOwner,P-01150,1
CP-01151,TransactedWith,CP-01168,101151
CP-01151,UltimateBeneficialOwner,P-01151,1
CP-01152,TransactedWith,CP-01169,101152
CP-01152,UltimateBeneficialOwner,P-01152,1
CP-01153,TransactedWith,CP-01170,101153
CP-01153,UltimateBeneficialOwner,P-01153,1
CP-01154,TransactedWith,CP-01171,101154
CP-01154,UltimateBeneficialOwner,P-01154,1
CP-01155,TransactedWith,CP-01172,101155
CP-01155,UltimateBeneficialOwner,P-01155,1
CP-01156,TransactedWith,CP-01173,101156
CP-01156,UltimateBeneficialOwner,P-01156,1
CP-01157,TransactedWith,CP-01174,101157
CP-01157,UltimateBeneficialOwner,P-01157,1
CP-01158,TransactedWith,CP-01175,101158
CP-01158,UltimateBeneficialOwner,P-01158,1
CP-01159,TransactedWith,CP-01176,101159
CP-01159,UltimateBeneficialOwner,P-01159,1
CP-01160,TransactedWith,CP-01177,101160
CP-01160,UltimateBeneficialOwner,P-01160,1
CP-01161,TransactedWith,CP-01178,101161
CP-01161,UltimateBeneficialOwner,P-01161,1
CP-01162,TransactedWith,CP-01179,101162
CP-01162,UltimateBeneficialOwner,P-01162,1
CP-01163,TransactedWith,CP-01180,101163
CP-01163,UltimateBeneficialOwner,P-01163,1
CP-01164,TransactedWith,CP-01181,101164
CP-01164,UltimateBeneficialOwner,P-01164,1
CP-01165,TransactedWith,CP-01182,101165
CP-01165,UltimateBeneficialOwner,P-01165,1
CP-01166,TransactedWith,CP-01183,101166
CP-01166,UltimateBeneficialOwner,P-01166,1
CP-01167,TransactedWith,CP-01184,101167
CP-01167,UltimateBeneficialOwner,P-01167,1
CP-01168,TransactedWith,CP-01185,101168
CP-01168,UltimateBeneficialOwner,P-01168,1
CP-01169,TransactedWith,CP-01186,101169
CP-01169,UltimateBeneficialOwner,P-01169,1
CP-01170,TransactedWith,CP-01187,101170
CP-01170,UltimateBeneficialOwner,P-01170,1
CP-01171,TransactedWith,CP-01188,101171
CP-01171,UltimateBeneficialOwner,P-01171,1
CP-01172,TransactedWith,CP-01189,101172
CP-01172,UltimateBeneficialOwner,P-01172,1
CP-01173,TransactedWith,CP-01190,101173
CP-01173,UltimateBeneficialOwner,P-01173,1
CP-01174,TransactedWith,CP-01191,101174
CP-01174,UltimateBeneficialOwner,P-01174,1
CP-01175,TransactedWith,CP-01192,101175
CP-01175,UltimateBeneficialOwner,P-01175,1
CP-01176,TransactedWith,CP-01193,101176
CP-01176,UltimateBeneficialOwner,P-01176,1
CP-01177,TransactedWith,CP-01194,101177
CP-01177,UltimateBeneficialOwner,P-01177,1
CP-01178,TransactedWith,CP-01195,101178
CP-01178,UltimateBeneficialOwner,P-01178,1
CP-01179,TransactedWith,CP-01196,101179
CP-01179,UltimateBeneficialOwner,P-01179,1
CP-01180,TransactedWith,CP-01197,101180
CP-01180,UltimateBeneficialOwner,P-01180,1
CP-01181,TransactedWith,CP-01198,101181
CP-01181,UltimateBeneficialOwner,P-01181,1
CP-01182,TransactedWith,CP-01199,101182
CP-01182,UltimateBeneficialOwner,P-01182,1
CP-01183,TransactedWith,CP-01200,101183
CP-01183,UltimateBeneficialOwner,P-01183,1
CP-01184,TransactedWith,CP-01201,101184
CP-01184,UltimateBeneficialOwner,P-01184,1
CP-01185,TransactedWith,CP-01202,101185
CP-01185,UltimateBeneficialOwner,P-01185,1
CP-01186,TransactedWith,CP-01203,101186
CP-01186,UltimateBeneficialOwner,P-01186,1
CP-01187,TransactedWith,CP-01204,101187
CP-01187,UltimateBeneficialOwner,P-01187,1
CP-01188,TransactedWith,CP-01205,101188
CP-01188,UltimateBeneficialOwner,P-01188,1
CP-01189,TransactedWith,CP-01206,101189
CP-01189,UltimateBeneficialOwner,P-01189,1
CP-01190,TransactedWith,CP-01207,101190
CP-01190,UltimateBeneficialOwner,P-01190,1
CP-01191,TransactedWith,CP-01208,101191
CP-01191,UltimateBeneficialOwner,P-01191,1
CP-01192,TransactedWith,CP-01209,101192
CP-01192,UltimateBeneficialOwner,P-01192,1
CP-01193,TransactedWith,CP-01210,101193
CP-01193,UltimateBeneficialOwner,P-01193,1
CP-01194,TransactedWith,CP-01211,101194
CP-01194,UltimateBeneficialOwner,P-01194,1
CP-01195,TransactedWith,CP-01212,101195
CP-01195,UltimateBeneficialOwner,P-01195,1
CP-01196,TransactedWith,CP-01213,101196
CP-01196,UltimateBeneficialOwner,P-01196,1
CP-01197,TransactedWith,CP-01214,101197
CP-01197,UltimateBeneficialOwner,P-01197,1
CP-01198,TransactedWith,CP-01215,101198
CP-01198,UltimateBeneficialOwner,P-01198,1
CP-01199,TransactedWith,CP-01216,101199
CP-01199,UltimateBeneficialOwner,P-01199,1
CP-01200,TransactedWith,CP-01217,101200
CP-01200,UltimateBeneficialOwner,P-01200,1
CP-01201,TransactedWith,CP-01218,101201
CP-01201,UltimateBeneficialOwner,P-00001,1
CP-01202,TransactedWith,CP-01219,101202
CP-01202,UltimateBeneficialOwner,P-00002,1
CP-01203,TransactedWith,CP-01220,101203
CP-01203,UltimateBeneficialOwner,P-00003,1
CP-01204,TransactedWith,CP-01221,101204
CP-01204,UltimateBeneficialOwner,P-00004,1
CP-01205,TransactedWith,CP-01222,101205
CP-01205,UltimateBeneficialOwner,P-00005,1
CP-01206,TransactedWith,CP-01223,101206
CP-01206,UltimateBeneficialOwner,P-00006,1
CP-01207,TransactedWith,CP-01224,101207
CP-01207,UltimateBeneficialOwner,P-00007,1
CP-01208,TransactedWith,CP-01225,101208
CP-01208,UltimateBeneficialOwner,P-00008,1
CP-01209,TransactedWith,CP-01226,101209
CP-01209,UltimateBeneficialOwner,P-00009,1
CP-01210,TransactedWith,CP-01227,101210
CP-01210,UltimateBeneficialOwner,P-00010,1
CP-01211,TransactedWith,CP-01228,101211
CP-01211,UltimateBeneficialOwner,P-00011,1
CP-01212,TransactedWith,CP-01229,101212
CP-01212,UltimateBeneficialOwner,P-00012,1
CP-01213,TransactedWith,CP-01230,101213
CP-01213,UltimateBeneficialOwner,P-00013,1
CP-01214,TransactedWith,CP-01231,101214
CP-01214,UltimateBeneficialOwner,P-00014,1
CP-01215,TransactedWith,CP-01232,101215
CP-01215,UltimateBeneficialOwner,P-00015,1
CP-01216,TransactedWith,CP-01233,101216
CP-01216,UltimateBeneficialOwner,P-00016,1
CP-01217,TransactedWith,CP-01234,101217
CP-01217,UltimateBeneficialOwner,P-00017,1
CP-01218,TransactedWith,CP-01235,101218
CP-01218,UltimateBeneficialOwner,P-00018,1
CP-01219,TransactedWith,CP-01236,101219
CP-01219,UltimateBeneficialOwner,P-00019,1
CP-01220,TransactedWith,CP-01237,101220
CP-01220,UltimateBeneficialOwner,P-00020,1
CP-01221,TransactedWith,CP-01238,101221
CP-01221,UltimateBeneficialOwner,P-00021,1
CP-01222,TransactedWith,CP-01239,101222
CP-01222,UltimateBeneficialOwner,P-00022,1
CP-01223,TransactedWith,CP-01240,101223
CP-01223,UltimateBeneficialOwner,P-00023,1
CP-01224,TransactedWith,CP-01241,101224
CP-01224,UltimateBeneficialOwner,P-00024,1
CP-01225,TransactedWith,CP-01242,101225
CP-01225,UltimateBeneficialOwner,P-00025,1
CP-01226,TransactedWith,CP-01243,101226
CP-01226,UltimateBeneficialOwner,P-00026,1
CP-01227,TransactedWith,CP-01244,101227
CP-01227,UltimateBeneficialOwner,P-00027,1
CP-01228,TransactedWith,CP-01245,101228
CP-01228,UltimateBeneficialOwner,P-00028,1
CP-01229,TransactedWith,CP-01246,101229
CP-01229,UltimateBeneficialOwner,P-00029,1
CP-01230,TransactedWith,CP-01247,101230
CP-01230,UltimateBeneficialOwner,P-00030,1
CP-01231,TransactedWith,CP-01248,101231
CP-01231,UltimateBeneficialOwner,P-00031,1
CP-01232,TransactedWith,CP-01249,101232
CP-01232,UltimateBeneficialOwner,P-00032,1
CP-01233,TransactedWith,CP-01250,101233
CP-01233,UltimateBeneficialOwner,P-00033,1
CP-01234,TransactedWith,CP-01251,101234
CP-01234,UltimateBeneficialOwner,P-00034,1
CP-01235,TransactedWith,CP-01252,101235
CP-01235,UltimateBeneficialOwner,P-00035,1
CP-01236,TransactedWith,CP-01253,101236
CP-01236,UltimateBeneficialOwner,P-00036,1
CP-01237,TransactedWith,CP-01254,101237
CP-01237,UltimateBeneficialOwner,P-00037,1
CP-01238,TransactedWith,CP-01255,101238
CP-01238,UltimateBeneficialOwner,P-00038,1
CP-01239,TransactedWith,CP-01256,101239
CP-01239,UltimateBeneficialOwner,P-00039,1
CP-01240,TransactedWith,CP-01257,101240
CP-01240,UltimateBeneficialOwner,P-00040,1
CP-01241,TransactedWith,CP-01258,101241
CP-01241,UltimateBeneficialOwner,P-00041,1
CP-01242,TransactedWith,CP-01259,101242
CP-01242,UltimateBeneficialOwner,P-00042,1
CP-01243,TransactedWith,CP-01260,101243
CP-01243,UltimateBeneficialOwner,P-00043,1
CP-01244,TransactedWith,CP-01261,101244
CP-01244,UltimateBeneficialOwner,P-00044,1
CP-01245,TransactedWith,CP-01262,101245
CP-01245,UltimateBeneficialOwner,P-00045,1
CP-01246,TransactedWith,CP-01263,101246
CP-01246,UltimateBeneficialOwner,P-00046,1
CP-01247,TransactedWith,CP-01264,101247
CP-01247,UltimateBeneficialOwner,P-00047,1
CP-01248,TransactedWith,CP-01265,101248
CP-01248,UltimateBeneficialOwner,P-00048,1
CP-01249,TransactedWith,CP-01266,101249
CP-01249,UltimateBeneficialOwner,P-00049,1
CP-01250,TransactedWith,CP-01267,101250
CP-01250,UltimateBeneficialOwner,P-00050,1
CP-01251,TransactedWith,CP-01268,101251
CP-01251,UltimateBeneficialOwner,P-00051,1
CP-01252,TransactedWith,CP-01269,101252
CP-01252,UltimateBeneficialOwner,P-00052,1
CP-01253,TransactedWith,CP-01270,101253
CP-01253,UltimateBeneficialOwner,P-00053,1
CP-01254,TransactedWith,CP-01271,101254
CP-01254,UltimateBeneficialOwner,P-00054,1
CP-01255,TransactedWith,CP-01272,101255
CP-01255,UltimateBeneficialOwner,P-00055,1
CP-01256,TransactedWith,CP-01273,101256
CP-01256,UltimateBeneficialOwner,P-00056,1
CP-01257,TransactedWith,CP-01274,101257
CP-01257,UltimateBeneficialOwner,P-00057,1
CP-01258,TransactedWith,CP-01275,101258
CP-01258,UltimateBeneficialOwner,P-00058,1
CP-01259,TransactedWith,CP-01276,101259
CP-01259,UltimateBeneficialOwner,P-00059,1
CP-01260,TransactedWith,CP-01277,101260
CP-01260,UltimateBeneficialOwner,P-00060,1
CP-01261,TransactedWith,CP-01278,101261
CP-01261,UltimateBeneficialOwner,P-00061,1
CP-01262,TransactedWith,CP-01279,101262
CP-01262,UltimateBeneficialOwner,P-00062,1
CP-01263,TransactedWith,CP-01280,101263
CP-01263,UltimateBeneficialOwner,P-00063,1
CP-01264,TransactedWith,CP-01281,101264
CP-01264,UltimateBeneficialOwner,P-00064,1
CP-01265,TransactedWith,CP-01282,101265
CP-01265,UltimateBeneficialOwner,P-00065,1
CP-01266,TransactedWith,CP-01283,101266
CP-01266,UltimateBeneficialOwner,P-00066,1
CP-01267,TransactedWith,CP-01284,101267
CP-01267,UltimateBeneficialOwner,P-00067,1
CP-01268,TransactedWith,CP-01285,101268
CP-01268,UltimateBeneficialOwner,P-00068,1
CP-01269,TransactedWith,CP-01286,101269
CP-01269,UltimateBeneficialOwner,P-00069,1
CP-01270,TransactedWith,CP-01287,101270
CP-01270,UltimateBeneficialOwner,P-00070,1
CP-01271,TransactedWith,CP-01288,101271
CP-01271,UltimateBeneficialOwner,P-00071,1
CP-01272,TransactedWith,CP-01289,101272
CP-01272,UltimateBeneficialOwner,P-00072,1
CP-01273,TransactedWith,CP-01290,101273
CP-01273,UltimateBeneficialOwner,P-00073,1
CP-01274,TransactedWith,CP-01291,101274
CP-01274,UltimateBeneficialOwner,P-00074,1
CP-01275,TransactedWith,CP-01292,101275
CP-01275,UltimateBeneficialOwner,P-00075,1
CP-01276,TransactedWith,CP-01293,101276
CP-01276,UltimateBeneficialOwner,P-00076,1
CP-01277,TransactedWith,CP-01294,101277
CP-01277,UltimateBeneficialOwner,P-00077,1
CP-01278,TransactedWith,CP-01295,101278
CP-01278,UltimateBeneficialOwner,P-00078,1
CP-01279,TransactedWith,CP-01296,101279
CP-01279,UltimateBeneficialOwner,P-00079,1
CP-01280,TransactedWith,CP-01297,101280
CP-01280,UltimateBeneficialOwner,P-00080,1
CP-01281,TransactedWith,CP-01298,101281
CP-01281,UltimateBeneficialOwner,P-00081,1
CP-01282,TransactedWith,CP-01299,101282
CP-01282,UltimateBeneficialOwner,P-00082,1
CP-01283,TransactedWith,CP-01300,101283
CP-01283,UltimateBeneficialOwner,P-00083,1
CP-01284,TransactedWith,CP-01301,101284
CP-01284,UltimateBeneficialOwner,P-00084,1
CP-01285,TransactedWith,CP-01302,101285
CP-01285,UltimateBeneficialOwner,P-00085,1
CP-01286,TransactedWith,CP-01303,101286
CP-01286,UltimateBeneficialOwner,P-00086,1
CP-01287,TransactedWith,CP-01304,101287
CP-01287,UltimateBeneficialOwner,P-00087,1
CP-01288,TransactedWith,CP-01305,101288
CP-01288,UltimateBeneficialOwner,P-00088,1
CP-01289,TransactedWith,CP-01306,101289
CP-01289,UltimateBeneficialOwner,P-00089,1
CP-01290,TransactedWith,CP-01307,101290
CP-01290,UltimateBeneficialOwner,P-00090,1
CP-01291,TransactedWith,CP-01308,101291
CP-01291,UltimateBeneficialOwner,P-00091,1
CP-01292,TransactedWith,CP-01309,101292
CP-01292,UltimateBeneficialOwner,P-00092,1
CP-01293,TransactedWith,CP-01310,101293
CP-01293,UltimateBeneficialOwner,P-00093,1
CP-01294,TransactedWith,CP-01311,101294
CP-01294,UltimateBeneficialOwner,P-00094,1
CP-01295,TransactedWith,CP-01312,101295
CP-01295,UltimateBeneficialOwner,P-00095,1
CP-01296,TransactedWith,CP-01313,101296
CP-01296,UltimateBeneficialOwner,P-00096,1
CP-01297,TransactedWith,CP-01314,101297
CP-01297,UltimateBeneficialOwner,P-00097,1
CP-01298,TransactedWith,CP-01315,101298
CP-01298,UltimateBeneficialOwner,P-00098,1
CP-01299,TransactedWith,CP-01316,101299
CP-01299,UltimateBeneficialOwner,P-00099,1
CP-01300,TransactedWith,CP-01317,101300
CP-01300,UltimateBeneficialOwner,P-00100,1
CP-01301,TransactedWith,CP-01318,101301
CP-01301,UltimateBeneficialOwner,P-00101,1
CP-01302,TransactedWith,CP-01319,101302
CP-01302,UltimateBeneficialOwner,P-00102,1
CP-01303,TransactedWith,CP-01320,101303
CP-01303,UltimateBeneficialOwner,P-00103,1
CP-01304,TransactedWith,CP-01321,101304
CP-01304,UltimateBeneficialOwner,P-00104,1
CP-01305,TransactedWith,CP-01322,101305
CP-01305,UltimateBeneficialOwner,P-00105,1
CP-01306,TransactedWith,CP-01323,101306
CP-01306,UltimateBeneficialOwner,P-00106,1
CP-01307,TransactedWith,CP-01324,101307
CP-01307,UltimateBeneficialOwner,P-00107,1
CP-01308,TransactedWith,CP-01325,101308
CP-01308,UltimateBeneficialOwner,P-00108,1
CP-01309,TransactedWith,CP-01326,101309
CP-01309,UltimateBeneficialOwner,P-00109,1
CP-01310,TransactedWith,CP-01327,101310
CP-01310,UltimateBeneficialOwner,P-00110,1
CP-01311,TransactedWith,CP-01328,101311
CP-01311,UltimateBeneficialOwner,P-00111,1
CP-01312,TransactedWith,CP-01329,101312
CP-01312,UltimateBeneficialOwner,P-00112,1
CP-01313,TransactedWith,CP-01330,101313
CP-01313,UltimateBeneficialOwner,P-00113,1
CP-01314,TransactedWith,CP-01331,101314
CP-01314,UltimateBeneficialOwner,P-00114,1
CP-01315,TransactedWith,CP-01332,101315
CP-01315,UltimateBeneficialOwner,P-00115,1
CP-01316,TransactedWith,CP-01333,101316
CP-01316,UltimateBeneficialOwner,P-00116,1
CP-01317,TransactedWith,CP-01334,101317
CP-01317,UltimateBeneficialOwner,P-00117,1
CP-01318,TransactedWith,CP-01335,101318
CP-01318,UltimateBeneficialOwner,P-00118,1
CP-01319,TransactedWith,CP-01336,101319
CP-01319,UltimateBeneficialOwner,P-00119,1
CP-01320,TransactedWith,CP-01337,101320
CP-01320,UltimateBeneficialOwner,P-00120,1
CP-01321,TransactedWith,CP-01338,101321
CP-01321,UltimateBeneficialOwner,P-00121,1
CP-01322,TransactedWith,CP-01339,101322
CP-01322,UltimateBeneficialOwner,P-00122,1
CP-01323,TransactedWith,CP-01340,101323
CP-01323,UltimateBeneficialOwner,P-00123,1
CP-01324,TransactedWith,CP-01341,101324
CP-01324,UltimateBeneficialOwner,P-00124,1
CP-01325,TransactedWith,CP-01342,101325
CP-01325,UltimateBeneficialOwner,P-00125,1
CP-01326,TransactedWith,CP-01343,101326
CP-01326,UltimateBeneficialOwner,P-00126,1
CP-01327,TransactedWith,CP-01344,101327
CP-01327,UltimateBeneficialOwner,P-00127,1
CP-01328,TransactedWith,CP-01345,101328
CP-01328,UltimateBeneficialOwner,P-00128,1
CP-01329,TransactedWith,CP-01346,101329
CP-01329,UltimateBeneficialOwner,P-00129,1
CP-01330,TransactedWith,CP-01347,101330
CP-01330,UltimateBeneficialOwner,P-00130,1
CP-01331,TransactedWith,CP-01348,101331
CP-01331,UltimateBeneficialOwner,P-00131,1
CP-01332,TransactedWith,CP-01349,101332
CP-01332,UltimateBeneficialOwner,P-00132,1
CP-01333,TransactedWith,CP-01350,101333
CP-01333,UltimateBeneficialOwner,P-00133,1
CP-01334,TransactedWith,CP-01351,101334
CP-01334,UltimateBeneficialOwner,P-00134,1
CP-01335,TransactedWith,CP-01352,101335
CP-01335,UltimateBeneficialOwner,P-00135,1
CP-01336,TransactedWith,CP-01353,101336
CP-01336,UltimateBeneficialOwner,P-00136,1
CP-01337,TransactedWith,CP-01354,101337
CP-01337,UltimateBeneficialOwner,P-00137,1
CP-01338,TransactedWith,CP-01355,101338
CP-01338,UltimateBeneficialOwner,P-00138,1
CP-01339,TransactedWith,CP-01356,101339
CP-01339,UltimateBeneficialOwner,P-00139,1
CP-01340,TransactedWith,CP-01357,101340
CP-01340,UltimateBeneficialOwner,P-00140,1
CP-01341,TransactedWith,CP-01358,101341
CP-01341,UltimateBeneficialOwner,P-00141,1
CP-01342,TransactedWith,CP-01359,101342
CP-01342,UltimateBeneficialOwner,P-00142,1
CP-01343,TransactedWith,CP-01360,101343
CP-01343,UltimateBeneficialOwner,P-00143,1
CP-01344,TransactedWith,CP-01361,101344
CP-01344,UltimateBeneficialOwner,P-00144,1
CP-01345,TransactedWith,CP-01362,101345
CP-01345,UltimateBeneficialOwner,P-00145,1
CP-01346,TransactedWith,CP-01363,101346
CP-01346,UltimateBeneficialOwner,P-00146,1
CP-01347,TransactedWith,CP-01364,101347
CP-01347,UltimateBeneficialOwner,P-00147,1
CP-01348,TransactedWith,CP-01365,101348
CP-01348,UltimateBeneficialOwner,P-00148,1
CP-01349,TransactedWith,CP-01366,101349
CP-01349,UltimateBeneficialOwner,P-00149,1
CP-01350,TransactedWith,CP-01367,101350
CP-01350,UltimateBeneficialOwner,P-00150,1
CP-01351,TransactedWith,CP-01368,101351
CP-01351,UltimateBeneficialOwner,P-00151,1
CP-01352,TransactedWith,CP-01369,101352
CP-01352,UltimateBeneficialOwner,P-00152,1
CP-01353,TransactedWith,CP-01370,101353
CP-01353,UltimateBeneficialOwner,P-00153,1
CP-01354,TransactedWith,CP-01371,101354
CP-01354,UltimateBeneficialOwner,P-00154,1
CP-01355,TransactedWith,CP-01372,101355
CP-01355,UltimateBeneficialOwner,P-00155,1
CP-01356,TransactedWith,CP-01373,101356
CP-01356,UltimateBeneficialOwner,P-00156,1
CP-01357,TransactedWith,CP-01374,101357
CP-01357,UltimateBeneficialOwner,P-00157,1
CP-01358,TransactedWith,CP-01375,101358
CP-01358,UltimateBeneficialOwner,P-00158,1
CP-01359,TransactedWith,CP-01376,101359
CP-01359,UltimateBeneficialOwner,P-00159,1
CP-01360,TransactedWith,CP-01377,101360
CP-01360,UltimateBeneficialOwner,P-00160,1
CP-01361,TransactedWith,CP-01378,101361
CP-01361,UltimateBeneficialOwner,P-00161,1
CP-01362,TransactedWith,CP-01379,101362
CP-01362,UltimateBeneficialOwner,P-00162,1
CP-01363,TransactedWith,CP-01380,101363
CP-01363,UltimateBeneficialOwner,P-00163,1
CP-01364,TransactedWith,CP-01381,101364
CP-01364,UltimateBeneficialOwner,P-00164,1
CP-01365,TransactedWith,CP-01382,101365
CP-01365,UltimateBeneficialOwner,P-00165,1
CP-01366,TransactedWith,CP-01383,101366
CP-01366,UltimateBeneficialOwner,P-00166,1
CP-01367,TransactedWith,CP-01384,101367
CP-01367,UltimateBeneficialOwner,P-00167,1
CP-01368,TransactedWith,CP-01385,101368
CP-01368,UltimateBeneficialOwner,P-00168,1
CP-01369,TransactedWith,CP-01386,101369
CP-01369,UltimateBeneficialOwner,P-00169,1
CP-01370,TransactedWith,CP-01387,101370
CP-01370,UltimateBeneficialOwner,P-00170,1
CP-01371,TransactedWith,CP-01388,101371
CP-01371,UltimateBeneficialOwner,P-00171,1
CP-01372,TransactedWith,CP-01389,101372
CP-01372,UltimateBeneficialOwner,P-00172,1
CP-01373,TransactedWith,CP-01390,101373
CP-01373,UltimateBeneficialOwner,P-00173,1
CP-01374,TransactedWith,CP-01391,101374
CP-01374,UltimateBeneficialOwner,P-00174,1
CP-01375,TransactedWith,CP-01392,101375
CP-01375,UltimateBeneficialOwner,P-00175,1
CP-01376,TransactedWith,CP-01393,101376
CP-01376,UltimateBeneficialOwner,P-00176,1
CP-01377,TransactedWith,CP-01394,101377
CP-01377,UltimateBeneficialOwner,P-00177,1
CP-01378,TransactedWith,CP-01395,101378
CP-01378,UltimateBeneficialOwner,P-00178,1
CP-01379,TransactedWith,CP-01396,101379
CP-01379,UltimateBeneficialOwner,P-00179,1
CP-01380,TransactedWith,CP-01397,101380
CP-01380,UltimateBeneficialOwner,P-00180,1
CP-01381,TransactedWith,CP-01398,101381
CP-01381,UltimateBeneficialOwner,P-00181,1
CP-01382,TransactedWith,CP-01399,101382
CP-01382,UltimateBeneficialOwner,P-00182,1
CP-01383,TransactedWith,CP-01400,101383
CP-01383,UltimateBeneficialOwner,P-00183,1
CP-01384,TransactedWith,CP-01401,101384
CP-01384,UltimateBeneficialOwner,P-00184,1
CP-01385,TransactedWith,CP-01402,101385
CP-01385,UltimateBeneficialOwner,P-00185,1
